StreetName	StreetType	SideCode	HouseNumLo	HouseNumHi	District	Neighborhood
10th	ave	E	100	198	1	Inner Richmond
10th	ave	E	1200	1298	5	Inner Sunset
10th	ave	E	1300	1398	5	Inner Sunset
10th	ave	E	1400	1498	7	Inner Sunset
10th	ave	E	1500	1598	7	Inner Sunset
10th	ave	E	1600	1698	7	Inner Sunset
10th	ave	E	1700	1798	7	Inner Sunset
10th	ave	E	1800	1898	7	Inner Sunset
10th	ave	E	1900	1998	7	West of Twin Peaks
10th	ave	E	2	98	2	Inner Richmond
10th	ave	E	200	298	1	Inner Richmond
10th	ave	E	2000	2098	7	West of Twin Peaks
10th	ave	E	2100	2198	7	West of Twin Peaks
10th	ave	E	300	398	1	Inner Richmond
10th	ave	E	400	498	1	Inner Richmond
10th	ave	E	500	598	1	Inner Richmond
10th	ave	E	600	698	1	Inner Richmond
10th	ave	E	700	798	1	Inner Richmond
10th	ave	O	1	99	2	Inner Richmond
10th	ave	O	101	199	1	Inner Richmond
10th	ave	O	1201	1299	5	Inner Sunset
10th	ave	O	1301	1399	5	Inner Sunset
10th	ave	O	1401	1499	7	Inner Sunset
10th	ave	O	1501	1599	7	Inner Sunset
10th	ave	O	1601	1699	7	Inner Sunset
10th	ave	O	1701	1799	7	Inner Sunset
10th	ave	O	1801	1899	7	Inner Sunset
10th	ave	O	1901	1999	7	Inner Sunset
10th	ave	O	2001	2099	7	Inner Sunset
10th	ave	O	201	299	1	Inner Richmond
10th	ave	O	2101	2199	7	West of Twin Peaks
10th	ave	O	301	399	1	Inner Richmond
10th	ave	O	401	499	1	Inner Richmond
10th	ave	O	501	599	1	Inner Richmond
10th	ave	O	601	699	1	Inner Richmond
10th	ave	O	701	799	1	Inner Richmond
10th	st	E	100	132	6	South of Market
10th	st	E	134	166	6	South of Market
10th	st	E	168	198	6	South of Market
10th	st	E	2	18	6	South of Market
10th	st	E	20	54	6	South of Market
10th	st	E	200	298	6	South of Market
10th	st	E	300	348	6	South of Market
10th	st	E	350	398	6	South of Market
10th	st	E	400	498	6	South of Market
10th	st	E	500	598	6	South of Market
10th	st	E	56	74	6	South of Market
10th	st	E	76	98	6	South of Market
10th	st	E	800	898	6	Treasure Island
10th	st	O	1	13	6	South of Market
10th	st	O	101	133	6	South of Market
10th	st	O	135	165	6	South of Market
10th	st	O	15	41	6	South of Market
10th	st	O	167	199	6	South of Market
10th	st	O	201	299	6	South of Market
10th	st	O	301	353	6	South of Market
10th	st	O	355	399	6	South of Market
10th	st	O	401	499	6	South of Market
10th	st	O	43	69	6	South of Market
10th	st	O	501	599	6	South of Market
10th	st	O	71	99	6	South of Market
10th	st	O	801	899	6	Treasure Island
11th	ave	E	100	198	1	Inner Richmond
11th	ave	E	1200	1298	5	Inner Sunset
11th	ave	E	1300	1398	5	Inner Sunset
11th	ave	E	1400	1498	7	Inner Sunset
11th	ave	E	1500	1598	7	Inner Sunset
11th	ave	E	1600	1698	7	Inner Sunset
11th	ave	E	1700	1798	7	Inner Sunset
11th	ave	E	1800	1898	7	Inner Sunset
11th	ave	E	1900	1998	7	Inner Sunset
11th	ave	E	2	98	2	Inner Richmond
11th	ave	E	200	298	1	Inner Richmond
11th	ave	E	300	398	1	Inner Richmond
11th	ave	E	400	498	1	Inner Richmond
11th	ave	E	500	598	1	Inner Richmond
11th	ave	E	600	698	1	Inner Richmond
